movie_name,release_year,imdb_grades,genres,casts,duration in min,country,production
The Adventures of Elmo in Grouchland,1999,,"Comedy,Music,Adventure,Family,Fantasy","DavidRudman,KirkR.Thatcher,SoniaManzano,AlisonBartlett,BillBarretta",90,Canada,"ColumbiaPictures,Children'sTelevisionWorkshop(CTW),JimHensonPictures,SonyPictures,GlobalMedienKG"
Unhallowed Ground,2015,,"Horror,Thriller","AmeetChana,RichardDerrington,ThomasLaw,PoppyDrayton,MorganePolanski",90,UnitedStatesofAmerica,AviaryFilms
Operation: Daybreak,1975,,"Action,War","JosefAbrhám,JiříKrampol,TimothyBottoms,KikaMarkham,NeilMcCarthy",90,UnitedKingdom,"Vista,CeskoslovenskýFilmexport,FilmovéStudioBarrandov,AmericanAlliedPictures,HowardR.Schuster"
The Carrier,2015,,"Thriller,Drama,Action,ScienceFiction","KarenBryson,JoeDixon,JackGordon,JosieTaylor,EdmundKingsley",90,Canada,"MegatopiaFilms,PremierePicture,SPEISLimited"
Cedonia Avenue,2015,,"Action,Drama","LeannDonovan,NicholasBianchi,JonathanWallace,",90,UnitedStatesofAmerica,MVDEntertainment
The Guardsman,1931,,"Comedy,Drama","ZasuPitts,RolandYoung,MaudeEburne,HermanBing,AnnDvorak",90,UnitedStatesofAmerica,Metro-Goldwyn-Mayer
The Rack Pack,2016,,"Drama,Comedy","NicholaBurley,CaolanByrne,TomFisher,WillMerrick,ChrisCorrigan",90,UnitedStatesofAmerica,"Zeppotron,BritishBroadcastingCorporation,BlackGatePictures"
Korengal,2014,,"War,Documentary","AronHijar,Juan""Doc""Restrepo,LaMontaCaldwell,DanKearney,MamrieHart",90,UnitedKingdom,"MotionPictureGroup,The"
Space Cop,2016,,"ScienceFiction,Action,Comedy","WilliamLau,ChikeJohnson,AliKtiri,RonnieMcCawley,LucilleSadikin",90,UnitedStatesofAmerica,RedLetterMedia
French Blood,2015,,Drama,"AlbanLenoir,PaulHamy,AlexMartin,SamuelJouy,DonnyCaicedo",90,UnitedStatesofAmerica,FinAoûtProductions
The Babysitters,2007,,Drama,"KimShaw,JohnLeguizamo,BridgetRegan,DenisO'Hare,AnnDowd",90,China,"ForensicFilms,UploadFilms,O.D.D.Entertainment,RebelFilms"
Candleshoe,1977,,Family,"DavidNiven,MichaelBalfour,JohnAlderson,HelenHayes,VeronicaQuilligan",90,Canada,WaltDisneyProductions
No Escape,1994,,"Drama,ScienceFiction,Action,Thriller","BarryDuffield,ColinMoody,KevinDillon,DavidWenham,MichaelLerner",90,UnitedStatesofAmerica,"ColumbiaPictures,AlliedFilmmakers,PacificWestern,PlatinumPictures"
Full of Grace,2015,,Drama,"MerikTadros,KelseyAsbille,EddieKaulukukui,NoamJenkins,MazSiam",90,Canada,"OutsideDaBox,ReKonProductions,JustinBellProductions"
We Are Monsters,2015,,"Horror,Drama,Thriller","RalfBeck,PaulO'Bryan,KlaraMcDonnell,ElgaFox,SonyaO'Donoghue",90,UnitedStatesofAmerica,StockholmSyndromeFilm
Asteroid: Final Impact,2015,,Action,"LochlynMunro,AnnaVanHooft,SharonTaylor,PeterBrown,JoshuaBallard",90,UnitedKingdom,FrostbitePictures
American Hardcore,2006,,"Music,Documentary","IanMacKaye,Moby,HenryRollins,MikePatton,BreanneBenson",90,UnitedStatesofAmerica,EnvisionFilms
Kickin' It Old Skool,2007,,Comedy,"StuartStone,MiguelA.Núñez,Jr.,VivicaA.Fox,EmmanuelLewis,BobbyLee",90,UnitedStatesofAmerica,YariFilmGroup
Americathon,1979,,Comedy,"TerenceMcGovern,ZaneBuzby,JohnRitter,GeorgeCarlin,NellieBellflower",90,UnitedStatesofAmerica,"UnitedArtists,LorimarFilmgesellschaftGmbH"
